Width,Height
38.37412587412582,37.19230769230769
60.08333333333327,53.82954545454545
67.15280898876388,77.89438202247192
85.0901856763926,61.94694960212202
113.30844155844157,71.3051948051948
97.37500000000003,87.13988095238095
88.7657342657343,108.58041958041957
117.64420485175204,101.12398921832884
141.18987341772151,93.58544303797468
110.46694214876035,135.1404958677686
137.01098901098902,123.53113553113553
172.7826086956522,107.45410628019323
130.46,159.56
166.42857142857144,137.30735930735932
159.61428571428573,176.32142857142856
193.61979166666669,154.3125
224.364238410596,135.05298013245033
139.5769230769231,218.69230769230768
186.0793650793651,207.16666666666666
229.06250000000003,189.54375
194.57142857142858,249.99159663865547
279.3980582524271,178.0
325.4,160.56
258.6279069767442,234.4418604651163
231.16923076923075,287.4923076923077
330.35,228.66666666666669
275.54838709677415,339.0322580645161
335.52173913043475,289.30434782608694
413.1363636363636,255.77272727272728
437.34482758620686,339.0344827586207
